id,code,title_ko,COMM,RESP,PROB,GROW,STRE,ADAP,representative_job
321,6140,텔레마케터,3,3,3,3,3,3,기타전문직
322,615,판매 종사자,4,3,3,3,3,3,영업·판매
323,6151,소규모 상점 경영 및 일선,3,3,3,3,3,3,기타전문직
324,6152,상점 판매원,4,3,3,3,3,3,영업·판매
325,6153,단말기 및 통신 서비스 판매원,4,3,3,3,3,3,영업·판매
326,6154,온라인 쇼핑 판매원,4,3,3,3,3,3,영업·판매
327,6155,상품 대여원,3,3,3,3,3,3,기타전문직
328,6156,노점 및 이동 판매원,4,3,3,3,3,3,영업·판매
329,6157,방문 판매원,4,3,3,3,3,3,영업·판매
330,6158,주유원,3,3,3,3,3,3,기타전문직
331,616,매장 계산원 및 매표원,3,3,3,3,3,3,기타전문직
332,6161,매장 계산원 및 요금 정산원,3,3,3,3,3,3,기타전문직
333,6162,매표원 및 복권 판매원,4,3,3,3,3,3,영업·판매
334,617,판촉 및 기타 판매 단순,4,3,3,3,3,3,영업·판매
335,6171,홍보 도우미 및 판촉원,4,3,3,3,3,3,마케팅·홍보
336,6179,기타 판매 관련 단순 종사원,4,3,3,3,3,3,영업·판매
337,62,운전·운송직,3,3,3,3,3,3,기타전문직
338,621,항공기·선박·철도 조종사 및,3,3,3,3,3,3,기타전문직
339,6211,항공기 조종사,3,3,3,3,3,3,기타전문직
340,6212,선장 및 항해사,3,3,3,3,3,3,기타전문직
341,6213,철도 및 전동차 기관사,3,3,3,3,3,3,기타전문직
342,6214,관제사,3,3,3,3,3,3,기타전문직
343,6219,철도운송 관련 종사원,3,3,3,3,3,3,기타전문직
344,622,자동차 운전원,3,3,3,3,3,3,기타전문직
345,6221,택시 운전원,3,3,3,3,3,3,기타전문직
346,6222,버스 운전원,3,3,3,3,3,3,기타전문직
347,6223,화물차 및 특수차 운전원,3,3,3,3,3,3,기타전문직
348,6229,기타 자동차 운전원,3,3,3,3,3,3,기타전문직
349,623,물품이동장비 조작원,3,3,3,3,3,3,기타전문직
350,6230,물품 이동 장비 조작원,3,3,3,3,3,3,기타전문직
351,624,택배원 및 기타 운송 종사자,3,3,3,3,3,3,기타전문직
352,6241,택배원,3,3,3,3,3,3,기타전문직
353,6242,늘찬배달원,3,3,3,3,3,3,기타전문직
354,6243,우편집배원,3,3,3,3,3,3,영상편집/콘텐츠
355,6244,선박 승무원 및 관련 종사원,4,3,3,3,3,3,기타전문직
356,6245,하역 및 적재 단순 종사원,3,3,3,3,3,3,기타전문직
357,6246,화물 분류원,3,3,3,3,3,3,기타전문직
358,6247,정기배달원,3,3,3,3,3,3,기타전문직
359,6249,기타 배달원,3,3,3,3,3,3,기타전문직
360,70,건설·채굴직,3,3,3,3,3,3,기타전문직
361,701,건설구조 기능원,3,3,3,3,3,3,기타전문직
362,7011,강구조물 가공원 및 건립원,3,3,3,3,3,3,기타전문직
363,7012,경량 철골공,3,3,3,3,3,3,기타전문직
364,7013,철근공,3,3,3,3,3,3,기타전문직
365,7014,콘크리트공,3,3,3,3,3,3,기타전문직
366,7015,건축 석공,3,3,3,3,3,3,토목/건축 엔지니어
367,7016,건축 목공,3,3,3,3,3,3,토목/건축 엔지니어
368,7017,조적공 및 석재 부설원,3,3,3,3,3,3,기타전문직
369,7019,기타 건설 관련 기능 종사원,3,3,3,3,3,3,기타전문직
370,702,건축마감 기능원,3,3,3,3,3,3,토목/건축 엔지니어
371,7021,미장공,3,3,3,3,3,3,기타전문직
372,7022,방수공,3,3,3,3,3,3,기타전문직
373,7023,단열공,3,3,3,3,3,3,기타전문직
374,7024,바닥재 시공원,3,3,3,3,3,3,기타전문직
375,7025,도배공 및 유리 부착원,3,3,3,3,3,3,기타전문직
376,7026,건축 도장공,3,3,3,3,3,3,토목/건축 엔지니어
377,7027,새시 조립 및 설치원,3,3,3,3,3,3,기타전문직
378,7029,기타 건축 마감 관련 기능,3,3,3,3,3,3,토목/건축 엔지니어
379,703,배관공,3,3,3,3,3,3,기타전문직
380,7031,건설 배관공,3,3,3,3,3,3,기타전문직
381,7032,공업 배관공,3,3,3,3,3,3,기타전문직
382,7039,기타 배관공,3,3,3,3,3,3,기타전문직
383,704,건설·채굴 기계 운전원,3,3,3,3,3,3,기계 엔지니어
384,7040,건설 및 채굴기계 운전원,3,3,3,3,3,3,기계 엔지니어
385,705,기타 건설 기능원,3,3,3,3,3,3,기타전문직
386,7051,광원,3,3,3,3,3,3,기타전문직
387,7052,철로 설치 및 보수원,3,3,3,3,3,3,기타전문직
388,7059,기타 채굴 및 토목 관련,3,3,3,3,3,3,토목/건축 엔지니어
389,706,건설·채굴 단순 종사자,3,3,3,3,3,3,기타전문직
390,7060,건설 및 광업 단순 종사원,3,3,3,3,3,3,기타전문직
391,81,기계 설치·정비·생산직,3,3,3,3,3,3,기계 엔지니어
392,811,기계장비,3,3,3,3,3,3,기계 엔지니어
393,8111,로봇 설치 및 정비원,3,3,3,3,3,3,기타전문직
394,8112,공업기계 설치 및 정비원,3,3,3,3,3,3,기계 엔지니어
395,8113,승강기 설치 및 정비원,3,3,3,3,3,3,기타전문직
396,8114,물품 이동 장비 설치 및,3,3,3,3,3,3,기타전문직
397,8115,냉동·냉장·공조기 설치 및,3,3,3,3,3,3,기타전문직
398,8116,보일러 설치 및 정비원,3,3,3,3,3,3,기타전문직
399,8117,건설·광업기계 설치 및 정비원,3,3,3,3,3,3,기계 엔지니어
400,8119,농업용·기타 기계장비 설치 및,3,3,3,3,3,3,기계 엔지니어
401,812,운송장비 정비원,3,3,3,3,3,3,기타전문직
402,8121,항공기 정비원,3,3,3,3,3,3,기타전문직
